simulation_name,elapsed_time,message_counter,debit_messages,deleted_messages,debit_deleted_messages,altered_messages,debit_altered_messages,stops_number,debit_stops,stops_duration,filtred_values

Essai 1,180.34534859657288,67,0.3715094429736416,4,0.02217966823723233,3,0.016634751177924248,15,0.08317375588962124,25,17

Essai 1,184.94086718559265,83,0.4487920991346249,7,0.03784993607159488,4,0.021628534898054212,19,0.10273554076575751,35,23

Test 2,65.28080725669861,21,0.32168719846590355,14,0.21445813231060235,13,0.19913969428841646,14,0.21445813231060235,24,12

Test 2,0.0010561943054199219,0,0.0,0,0.0,0,0.0,0,0.0,0,0
Test 2,0.001565694808959961,0,0.0,0,0.0,0,0.0,0,0.0,0,0
Test 2,36.21053886413574,12,0.3313952339959581,6,0.16569761699797905,6,0.16569761699797905,7,0.19331388649764225,12,5
Test 2,34.18473768234253,12,0.35103384766349605,6,0.17551692383174802,6,0.17551692383174802,6,0.17551692383174802,10,5
Test 2,24.174967050552368,8,0.3309208233157534,3,0.12409530874340752,4,0.1654604116578767,5,0.20682551457234585,8,1
Test 2,34.110941886901855,10,0.2931610634838514,6,0.17589663809031084,7,0.20521274443869597,6,0.17589663809031084,10,6
Test 2,34.19471454620361,11,0.3216871421791485,7,0.20470999956854907,7,0.20470999956854907,6,0.17546571391589919,10,9
Test 2,65.20608615875244,20,0.3067198351900385,13,0.19936789287352502,13,0.19936789287352502,14,0.21470388463302695,23,11
Test 2,17.063869953155518,6,0.3516201199652519,1,0.05860335332754198,2,0.11720670665508395,3,0.17581005998262594,5,0
Test 2,17.149572372436523,6,0.34986295108112664,3,0.17493147554056332,3,0.17493147554056332,3,0.17493147554056332,5,3
Test 2,17.04477858543396,6,0.3520139595786506,1,0.05866899326310844,2,0.11733798652621688,3,0.1760069797893253,5,2
Test 2,21.29929256439209,6,0.2816994969133731,2,0.0938998323044577,4,0.1877996646089154,3,0.14084974845668655,5,4
Test 2,17.158445835113525,6,0.34968202001846993,3,0.17484101000923497,3,0.17484101000923497,3,0.17484101000923497,5,5
Test 2,22.304237604141235,7,0.31384170686472185,4,0.1793381182084125,3,0.13450358865630938,4,0.1793381182084125,6,3
Test 2,21.26543354988098,7,0.32917269161621104,3,0.14107401069266187,3,0.14107401069266187,3,0.14107401069266187,5,5
Test 2,53.148120164871216,5,0.09407670458502501,4,0.07526136366802001,4,0.07526136366802001,4,0.07526136366802001,8,0
Test 2,53.13601803779602,5,0.09409813126086085,0,0.0,4,0.07527850500868868,4,0.07527850500868868,8,0
